ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZWMPI,,,,Pipers Row (Midland Metro Stop),,,,,,Pipers Row,,,,,,,E0057945,Wolverhampton,,,,,,,1,UKOS,391778,298610,-2.1227781,52.5852367,MET,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMAS,,,,Albert Street (Midland Metro Stop),,,,,,Albert Street,,,,,,,E0057937,Birmingham,,,BIRMINGHAM,,,,1,UKOS,407402,286948,-1.89244,52.48041,MET,,,,,,147,2025-10-17T14:29:00,2025-10-17T13:13:00,0,new,active
9400ZZWMAS1,nwmwjgwj,,,Albert Street (Midland Metro Stop),,,,,,Albert Street,,,,Platform 1,,,E0057937,Birmingham,,,BIRMINGHAM,,,,1,UKOS,407399,286958,-1.892488,52.480494,PLT,,,,,,147,2025-10-17T14:29:00,2025-10-17T13:13:00,0,new,active
9400ZZWMAS2,nwmwjgwm,,,Albert Street (Midland Metro Stop),,,,,,Albert Street,,,,Platform 2,,,E0057937,Birmingham,,,BIRMINGHAM,,,,1,UKOS,407406,286943,-1.8923788,52.48036,PLT,,,,,,147,2023-10-17T14:29:00,2025-10-17T13:13:00,0,new,active
9400ZZWMGB,,,,Great Bridge (Midland Metro Stop),,,,,,Eagle Lane,,,,,,,E0031589,Great Bridge,West Bromwich,,WEDNESBURY,,TOLL END,,1,UKOS,397662,292760,-2.03589,52.5327,MET,,,,,,147,2025-10-16T14:29:00,2025-10-16T13:13:00,0,new,active
9400ZZWMGB1,nwmwjgwd,,,Great Bridge (Midland Metro Stop),,,,,,Eagle Lane,,,,Platform 1,,,E0031589,Great Bridge,West Bromwich,,WEDNESBURY,,TOLL END,,1,UKOS,397656,292768,-2.0359797,52.532769,PLT,,,,,,147,2025-10-16T14:29:00,2025-10-16T13:13:00,0,new,active
9400ZZWMGB2,nwmwjgwg,,,Great Bridge (Midland Metro Stop),,,,,,Eagle Lane,,,,Platform 2,,,E0031589,Great Bridge,West Bromwich,,WEDNESBURY,,TOLL END,,1,UKOS,397668,292757,-2.035812,52.532678,PLT,,,,,,147,2023-10-16T14:29:00,2025-10-16T13:13:00,0,new,active
9400ZZWMHR,,,,Horseley Road (Midland Metro Stop),,,,,,Horseley Road,,,,,,,E0031515,Dudley Port,Dudley,,TIPTON,,HORSELEY HEATH,,1,UKOS,397060,292281,-2.04476,52.52839,MET,,,,,,147,2025-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMHR1,nwmwjgtw,,,Horseley Road (Midland Metro Stop),,,,,,Horseley Road,,,,Platform 1,,,E0031515,Dudley Port,Dudley,,TIPTON,,HORSELEY HEATH,,1,UKOS,397055,292289,-2.0448369,52.528463,PLT,,,,,,147,2025-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMHR2,nwmwjgwa,,,Horseley Road (Midland Metro Stop),,,,,,Horseley Road,,,,Platform 2,,,E0031515,Dudley Port,Dudley,,TIPTON,,HORSELEY HEATH,,1,UKOS,397066,292276,-2.0446821,52.528349,PLT,,,,,,147,2023-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMDP,,,,Dudley Port (Midland Metro Stop),,,,,,Park Lane East,,,,,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396726,291931,-2.04968,52.52524,MET,,,,,,147,2025-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMDP1,nwmwjgtm,,,Dudley Port (Midland Metro Stop),,,,,,Park Lane East,,,,Platform 1,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396724,291939,-2.0497139,52.525317,PLT,,,,,,147,2025-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMDP2,nwmwjgtp,,,Dudley Port (Midland Metro Stop),,,,,,Park Lane East,,,,Platform 2,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396729,291926,-2.0496428,52.525196,PLT,,,,,,147,2023-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMSR,,,,Sedgley Road (Midland Metro Stop),,,,,,Sedgley Road East,,,,,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396076,291635,-2.05926,52.52258,MET,,,,,,147,2025-10-14T14:29:00,2025-10-14T13:13:00,0,new,active
9400ZZWMSR1,nwmwjgtg,,,Sedgley Road (Midland Metro Stop),,,,,,Sedgley Road East,,,,Platform 1,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396074,291645,-2.0592875,52.522666,PLT,,,,,,147,2025-10-14T14:29:00,2025-10-14T13:13:00,0,new,active
9400ZZWMSR2,nwmwjgtj,,,Sedgley Road (Midland Metro Stop),,,,,,Sedgley Road East,,,,Platform 2,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396078,291630,-2.0592293,52.522536,PLT,,,,,,147,2023-10-13T14:29:00,2025-10-13T13:13:00,0,new,active
