"StationName","NaptanCode","HubNaptan","Latitude","Longitude","Lift","SameLevel","Interchange","FareZones","Wifi"
"Abbey Wood","910GABWDXR","HUBABW",51.491241,0.121374,6,FALSE,0,"4",FALSE
"Acton Central Rail Station","910GACTNCTL","",51.508716,-0.262971,0,FALSE,2,"3",TRUE
"Acton Main Line Rail Station","910GACTONML","",51.51718,-0.266756,2,FALSE,0,"3",FALSE
"Acton Town Underground Station","940GZZLUACT","",51.503057,-0.280462,2,FALSE,1,"3",TRUE
"Aldgate East Underground Station","940GZZLUADE","",51.515037,-0.072384,0,FALSE,2,"1",TRUE
"Aldgate Underground Station","940GZZLUALD","",51.514246,-0.075689,0,FALSE,0,"1",TRUE
"Alperton Underground Station","940GZZLUALP","",51.540627,-0.29961,0,FALSE,0,"4",TRUE
"Amersham Underground Station","940GZZLUAMS","HUBAMR",51.674126,-0.607714,2,FALSE,0,"9",TRUE
"Anerley Rail Station","910GANERLEY","",51.412153,-0.065886,0,FALSE,2,"4",TRUE
"Angel Underground Station","940GZZLUAGL","",51.532624,-0.105898,0,FALSE,0,"1",TRUE
"Archway Underground Station","940GZZLUACY","",51.565478,-0.134819,0,FALSE,0,"2|3",TRUE
"Arnos Grove Underground Station","940GZZLUASG","",51.616446,-0.133062,0,FALSE,0,"4",TRUE
"Arsenal Underground Station","940GZZLUASL","",51.558655,-0.107457,0,FALSE,0,"2",TRUE
"Baker Street Underground Station","940GZZLUBST","",51.522883,-0.15713,0,FALSE,0,"1",TRUE
"Balham Underground Station","940GZZLUBLM","HUBBAL",51.443288,-0.152997,1,FALSE,0,"3",TRUE
"Bank Underground Station","940GZZLUBNK","HUBBAN",51.513132,-0.090047,10,FALSE,0,"1",TRUE
"Barbican Underground Station","940GZZLUBBN","",51.520275,-0.097993,2,FALSE,0,"1",TRUE
"Barking Rail Station","910GBARKING","HUBBKG",51.539495,0.080903,1,FALSE,1,"4",TRUE
"Barking Riverside","910GBKRVS","",51.51953,0.11596,2,FALSE,0,"4",TRUE
"Barking Underground Station","940GZZLUBKG","HUBBKG",51.539321,0.081053,1,FALSE,1,"4",TRUE
"Barkingside Underground Station","940GZZLUBKE","",51.585689,0.088585,0,FALSE,0,"4",TRUE
"Barons Court Underground Station","940GZZLUBSC","",51.490311,-0.213427,0,FALSE,0,"2",TRUE
"Battersea Power Station Underground Station","940GZZBPSUST","",51.479932,-0.142142,4,FALSE,0,"1",TRUE
"Bayswater Underground Station","940GZZLUBWT","",51.512284,-0.187938,0,FALSE,0,"1",TRUE
"Becontree Underground Station","940GZZLUBEC","",51.540331,0.127016,0,FALSE,0,"5",TRUE
"Belsize Park Underground Station","940GZZLUBZP","",51.550529,-0.164783,0,FALSE,0,"2",TRUE
"Bermondsey Underground Station","940GZZLUBMY","",51.49775,-0.063993,1,FALSE,0,"2",TRUE
"Bethnal Green Rail Station","910GBTHNLGR","",51.523917,-0.059568,0,FALSE,0,"2",TRUE
"Bethnal Green Underground Station","940GZZLUBLG","",51.527222,-0.055506,0,FALSE,0,"2",TRUE
"Blackfriars Underground Station","940GZZLUBKF","HUBBFR",51.511581,-0.103659,6,FALSE,1,"1",TRUE
"Blackhorse Road Rail Station","910GBLCHSRD","HUBBHO",51.586605,-0.041236,2,FALSE,0,"3",TRUE
"Blackhorse Road Underground Station","940GZZLUBLR","HUBBHO",51.586919,-0.04115,2,FALSE,0,"3",TRUE
"Bond Street","910GBONDST","HUBBDS",51.51369,-0.149517,6,FALSE,0,"1",FALSE
"Bond Street Underground Station","940GZZLUBND","HUBBDS",51.514304,-0.149723,6,FALSE,0,"1",FALSE
"Borough Underground Station","940GZZLUBOR","",51.501199,-0.09337,2,FALSE,0,"1",TRUE
"Boston Manor Underground Station","940GZZLUBOS","",51.495635,-0.324939,0,FALSE,0,"4",TRUE
"Bounds Green Underground Station","940GZZLUBDS","",51.607034,-0.124235,0,FALSE,0,"3|4",TRUE
"Bow Road Underground Station","940GZZLUBWR","",51.52694,-0.025128,0,FALSE,0,"2",FALSE
"Brent Cross Underground Station","940GZZLUBTX","",51.57665,-0.213622,0,FALSE,0,"3",TRUE
"Brentwood Rail Station","910GBRTWOOD","",51.613605,0.299586,2,FALSE,0,"9",TRUE
"Brixton Underground Station","940GZZLUBXN","HUBBRX",51.462618,-0.114888,2,FALSE,0,"2",TRUE
"Brockley Rail Station","910GBROCKLY","",51.464649,-0.037537,1,FALSE,2,"2",TRUE
"Bromley-by-Bow Underground Station","940GZZLUBBB","",51.524839,-0.011538,2,FALSE,2,"2|3",TRUE
"Brondesbury Park Rail Station","910GBRBYPK","",51.540734,-0.210054,0,FALSE,0,"2",FALSE
"Brondesbury Rail Station","910GBRBY","",51.545166,-0.202309,0,FALSE,0,"2",TRUE
"Bruce Grove Rail Station","910GBRUCGRV","",51.593959,-0.069867,0,FALSE,0,"3",TRUE
"Buckhurst Hill Underground Station","940GZZLUBKH","",51.626605,0.046757,0,FALSE,0,"5",TRUE
"Burnham (Berks) Rail Station","910GBNHAM","",51.523506,-0.646374,1,FALSE,0,"Outside",FALSE
"Burnt Oak Underground Station","940GZZLUBTK","",51.602774,-0.264048,0,FALSE,0,"4",TRUE
"Bush Hill Park Rail Station","910GBHILLPK","",51.641519,-0.069221,0,FALSE,2,"5",TRUE
"Bushey Rail Station","910GBUSHEY","HUBBSH",51.645582,-0.384749,0,FALSE,0,"8",FALSE
"Bushey Rail Station","910GBUSHYDC","HUBBSH",51.645691,-0.385612,0,FALSE,0,"8",FALSE
"Caledonian Road & Barnsbury Rail Station","910GCLDNNRB","",51.543041,-0.116729,1,FALSE,0,"2",FALSE
"Caledonian Road Underground Station","940GZZLUCAR","",51.548519,-0.118493,2,FALSE,0,"2",TRUE
"Cambridge Heath (London) Rail Station","910GCAMHTH","",51.531973,-0.057279,0,FALSE,0,"2",FALSE
"Camden Road Rail Station","910GCMDNRD","",51.541791,-0.138701,2,FALSE,0,"2",TRUE
"Camden Town Underground Station","940GZZLUCTN","",51.539292,-0.14274,0,FALSE,0,"2",TRUE
"Canada Water Rail Station","910GCNDAW","HUBZCW",51.49799,-0.04972,3,FALSE,0,"2",TRUE
"Canada Water Underground Station","940GZZLUCWR","HUBZCW",51.497931,-0.049405,3,FALSE,0,"2",TRUE
"Canary Wharf","910GCANWHRF","HUBCAW",51.506321,-0.018815,10,FALSE,0,"2",TRUE
"Canary Wharf Underground Station","940GZZLUCYF","HUBCAW",51.503488,-0.018246,10,FALSE,0,"2",TRUE
"Canning Town Underground Station","940GZZLUCGT","HUBCAN",51.513584,0.008322,4,FALSE,0,"2|3",TRUE
"Cannon Street Underground Station","940GZZLUCST","HUBCST",51.51151,-0.090432,2,FALSE,1,"1",TRUE
"Canonbury Rail Station","910GCNNB","",51.548732,-0.092191,3,FALSE,0,"2",FALSE
"Canons Park Underground Station","940GZZLUCPK","",51.607701,-0.294693,0,FALSE,0,"5",TRUE
"Carpenders Park Rail Station","910GCRPNDPK","",51.628351,-0.385939,0,FALSE,0,"7",TRUE
"Chadwell Heath Rail Station","910GCHDWLHT","",51.568039,0.128958,3,FALSE,0,"5",FALSE
"Chalfont & Latimer Underground Station","940GZZLUCAL","HUBCFO",51.667985,-0.560689,0,FALSE,0,"8",TRUE
"Chalk Farm Underground Station","940GZZLUCFM","",51.544118,-0.153388,0,FALSE,0,"2",TRUE
"Chancery Lane Underground Station","940GZZLUCHL","",51.518247,-0.111583,0,FALSE,0,"1",TRUE
"Charing Cross Underground Station","940GZZLUCHX","HUBCHX",51.50741,-0.127277,0,FALSE,0,"1",TRUE
"Chesham Underground Station","940GZZLUCSM","",51.705208,-0.611247,0,TRUE,0,"9",TRUE
"Cheshunt Rail Station","910GCHESHNT","",51.702876,-0.02396,0,FALSE,0,"8",TRUE
"Chigwell Underground Station","940GZZLUCWL","",51.617916,0.075041,0,FALSE,0,"4",TRUE
"Chingford Rail Station","910GCHINGFD","",51.633087,0.009897,0,TRUE,0,"5",TRUE
"Chiswick Park Underground Station","940GZZLUCWP","",51.494627,-0.267972,0,FALSE,0,"3",TRUE
"Chorleywood Underground Station","940GZZLUCYD","HUBCLW",51.654358,-0.518461,0,FALSE,0,"7",TRUE
"Clapham Common Underground Station","940GZZLUCPC","",51.461742,-0.138317,0,FALSE,0,"2",TRUE
"Clapham High Street Rail Station","910GCLPHHS","",51.465481,-0.132522,0,FALSE,0,"2",FALSE
"Clapham Junction Rail Station","910GCLPHMJ1","HUBCLJ",51.464187,-0.170221,2,FALSE,0,"2",FALSE
"Clapham Junction Rail Station","910GCLPHMJC","HUBCLJ",51.464188,-0.170293,2,FALSE,0,"2",FALSE
"Clapham North Underground Station","940GZZLUCPN","",51.465135,-0.130016,0,FALSE,0,"2",TRUE
"Clapham South Underground Station","940GZZLUCPS","",51.452654,-0.147582,0,FALSE,0,"2|3",TRUE
"Clapton Rail Station","910GCLAPTON","",51.561644,-0.057025,0,FALSE,0,"2|3",TRUE
"Cockfosters Underground Station","940GZZLUCKS","",51.65152,-0.149171,1,FALSE,0,"5",TRUE
"Colindale Underground Station","940GZZLUCND","",51.595424,-0.249919,0,FALSE,0,"4",TRUE
"Colliers Wood Underground Station","940GZZLUCSD","",51.41816,-0.178086,0,FALSE,0,"3",TRUE
"Covent Garden Underground Station","940GZZLUCGN","",51.513093,-0.124436,0,FALSE,0,"1",TRUE
"Crouch Hill Rail Station","910GCROUCHH","",51.571302,-0.117149,0,FALSE,0,"3",FALSE
"Croxley Underground Station","940GZZLUCXY","",51.647044,-0.441718,0,FALSE,0,"7",TRUE
"Crystal Palace Rail Station","910GCRYSTLP","HUBCYP",51.418109,-0.07261,3,FALSE,0,"3|4",FALSE
